QBER,Key_Length,Errors,Attack
24.206349206349206,504,122,1
23.063063063063062,555,128,1
28.313253012048197,498,141,1
24.14448669201521,526,127,1
21.6,500,108,1
24.137931034482758,522,126,1
28.42741935483871,496,141,1
26.3265306122449,490,129,1
29.03846153846154,520,151,1
25.357873210633947,489,124,1
25.04854368932039,515,129,1
27.14570858283433,501,136,1
27.833001988071572,503,140,1
24.84472049689441,483,120,1
28.57142857142857,504,144,1
26.534653465346537,505,134,1
23.954372623574145,526,126,1
23.705179282868528,502,119,1
24.070450097847356,511,123,1
28.24858757062147,531,150,1
24.900398406374503,502,125,1
24.254473161033797,503,122,1
25.349301397205586,501,127,1
25.335892514395393,521,132,1
24.95201535508637,521,130,1
26.403326403326403,481,127,1
26.44787644787645,518,137,1
22.134387351778656,506,112,1
24.151696606786427,501,121,1
26.24254473161034,503,132,1
28.458498023715418,506,144,1
28.1496062992126,508,143,1
26.425855513307983,526,139,1
24.007561436672965,529,127,1
27.607361963190186,489,135,1
25.996204933586338,527,137,1
25.775193798449614,516,133,1
28.277153558052436,534,151,1
26.640159045725646,503,134,1
22.736030828516377,519,118,1
25.4,500,127,1
24.803149606299215,508,126,1
24.90272373540856,514,128,1
26.294820717131472,502,132,1
27.416173570019726,507,139,1
26.550387596899228,516,137,1
22.17821782178218,505,112,1
29.40038684719536,517,152,1
26.003824091778206,523,136,1
22.407407407407405,540,121,1
29.880478087649404,502,150,1
27.744510978043913,501,139,1
26.62835249042146,522,139,1
25.096525096525095,518,130,1
25.49800796812749,502,128,1
22.68431001890359,529,120,1
26.39691714836224,519,137,1
26.24254473161034,503,132,1
25.406504065040654,492,125,1
28.425357873210633,489,139,1
27.309236947791167,498,136,1
26.247689463955638,541,142,1
23.20754716981132,530,123,1
26.52671755725191,524,139,1
25.494071146245062,506,129,1
27.339449541284406,545,149,1
25.494071146245062,506,129,1
27.70137524557957,509,141,1
21.45748987854251,494,106,1
26.60377358490566,530,141,1
24.69879518072289,498,123,1
23.772102161100197,509,121,1
21.703853955375255,493,107,1
27.431906614785994,514,141,1
25.672877846790893,483,124,1
